"","enddate","F.Close","lag","log.return","observation"
"1","2015-12-17",13.98,14.36,-0.0268188268144138,1
"2","2015-12-18",13.8,13.98,-0.012959144642505,2
"3","2015-12-21",13.73,13.8,-0.00508537238327955,3
"4","2015-12-22",14.2,13.73,0.0336587448273353,4
"5","2015-12-23",14.36,14.2,0.0112045990128631,5
"6","2015-12-24",14.31,14.36,-0.0034879700517183,6
"7","2015-12-28",14.18,14.31,-0.00912607246437824,7
"8","2015-12-29",14.23,14.18,0.00351989099777938,8
"9","2015-12-30",14.17,14.23,-0.0042253583991716,9
"10","2015-12-31",14.09,14.17,-0.00566172779200036,10
"11","2016-01-04",13.97,14.09,-0.00855315264171841,11
"12","2016-01-05",13.72,13.97,-0.0180575509711312,12
"13","2016-01-06",13.11,13.72,-0.0454793245221308,13
"14","2016-01-07",12.7,13.11,-0.0317733043110628,14
"15","2016-01-08",12.54,12.7,-0.0126784582597712,15
"16","2016-01-11",12.77,12.54,0.0181751348396735,16
"17","2016-01-12",12.85,12.77,0.00624514129678078,17
"18","2016-01-13",12.2,12.85,-0.0519078596020179,18
"19","2016-01-14",12.19,12.2,-0.000820008246030568,19
"20","2016-01-15",11.97,12.19,-0.0182124239232984,20
"21","2016-01-19",11.95,11.97,-0.0016722411923622,21
"22","2016-01-20",11.9,11.95,-0.004192878260036,22
"23","2016-01-21",12.01,11.9,0.00920123597440847,23
"24","2016-01-22",12.14,12.01,0.0107661495394602,24
"25","2016-01-25",11.98,12.14,-0.0132671929440491,25
"26","2016-01-26",12.26,11.98,0.0231033378207619,26
"27","2016-01-27",11.85,12.26,-0.034014062926925,27
"28","2016-01-28",11.71,11.85,-0.0118846899715144,28
"29","2016-01-29",11.94,11.71,0.01945093035483,29
"30","2016-02-01",12.07,11.94,0.0108289271449844,30
"31","2016-02-02",11.51,12.07,-0.0475068123756488,31
"32","2016-02-03",11.46,11.51,-0.00435351144719798,32
"33","2016-02-04",11.53,11.46,0.0060896229943741,33
"34","2016-02-05",11.45,11.53,-0.00696260428071893,34
"35","2016-02-08",11.59,11.45,0.0121529273514116,35
"36","2016-02-09",11.35,11.59,-0.0209249134242486,36
"37","2016-02-10",11.34,11.35,-0.000881445627805455,37
"38","2016-02-11",11.17,11.34,-0.0151046852184971,38
"39","2016-02-12",11.55,11.17,0.0334538238866937,39
"40","2016-02-16",11.87,11.55,0.0273287716537736,40
"41","2016-02-17",12.27,11.87,0.0331430501012435,41
"42","2016-02-18",12.26,12.27,-0.000815328214754718,42
"43","2016-02-19",12.1,12.26,-0.0131364779053698,43
"44","2016-02-22",12.56,12.1,0.0373117084373571,44
"45","2016-02-23",12.42,12.56,-0.0112090845347197,45
"46","2016-02-24",12.08,12.42,-0.0277568839986642,46
"47","2016-02-25",12.39,12.08,0.0253385031343822,47
"48","2016-02-26",12.47,12.39,0.00643606405089425,48
"49","2016-02-29",12.51,12.47,0.00320256478687453,49
"50","2016-03-01",13.09,12.51,0.0453202554429888,50
"51","2016-03-02",13.22,13.09,0.00988225450173186,51
"52","2016-03-03",13.54,13.22,0.0239174330605887,52
"53","2016-03-04",13.59,13.54,0.00368596067892346,53
"54","2016-03-07",13.62,13.59,0.00220507255831359,54
"55","2016-03-08",13.23,13.62,-0.0290523225945019,55
"56","2016-03-09",13.19,13.23,-0.00302801139764108,56
"57","2016-03-10",13.15,13.19,-0.00303720810544972,57
"58","2016-03-11",13.29,13.15,0.0105901141013804,58
"59","2016-03-14",13.27,13.29,-0.00150602438103764,59
"60","2016-03-15",13.23,13.27,-0.003018870217252,60
"61","2016-03-16",13.5,13.23,0.0202027073175195,61
"62","2016-03-17",13.47,13.5,-0.00222469502211098,62
"63","2016-03-18",13.64,13.47,0.0125416619930432,63
"64","2016-03-21",13.66,13.64,0.00146520172732822,64
"65","2016-03-22",13.59,13.66,-0.00513762597959166,65
"66","2016-03-23",13.26,13.59,-0.024582243405336,66
"67","2016-03-24",13.06,13.26,-0.0151978609094314,67
"68","2016-03-28",13.09,13.06,0.00229445607352341,68
"69","2016-03-29",13.2,13.09,0.00836824967051664,69
"70","2016-03-30",13.35,13.2,0.0112995552539332,70
"71","2016-03-31",13.5,13.35,0.0111733005981254,71
"72","2016-04-01",13.1,13.5,-0.030077455237278,72
"73","2016-04-04",12.8,13.1,-0.0231670592815343,73
"74","2016-04-05",12.77,12.8,-0.00234650088112343,74
"75","2016-04-06",12.82,12.77,0.00390778144807591,75
"76","2016-04-07",12.52,12.82,-0.0236790858205715,76
"77","2016-04-08",12.55,12.52,0.0023932999058407,77
"78","2016-04-11",12.66,12.55,0.00872675113823718,78
"79","2016-04-12",12.81,12.66,0.0117786991926128,79
"80","2016-04-13",13.06,12.81,0.0193280079396421,80
"81","2016-04-14",13.09,13.06,0.00229445607352341,81
"82","2016-04-15",12.94,13.09,-0.011525290849054,82
"83","2016-04-18",13.25,12.94,0.0236742633594766,83
"84","2016-04-19",13.44,13.25,0.0142377826627724,84
"85","2016-04-20",13.64,13.44,0.0147713173203123,85
"86","2016-04-21",13.65,13.64,0.000732869215652965,86
"87","2016-04-22",13.61,13.65,-0.00293470496759429,87
"88","2016-04-25",13.58,13.61,-0.00220669453282474,88
"89","2016-04-26",13.75,13.58,0.0124407019820305,89
