"","enddate","JCP.Close","lag","log.return","observation"
"1","2015-12-17",6.61,7.02,-0.0601795641741247,1
"2","2015-12-18",6.63,6.61,0.00302115033417616,2
"3","2015-12-21",6.68,6.63,0.0075131833507831,3
"4","2015-12-22",6.84,6.68,0.0236697440859048,4
"5","2015-12-23",7.1,6.84,0.0373070524128107,5
"6","2015-12-24",6.96,7.1,-0.0199153097009415,6
"7","2015-12-28",6.91,6.96,-0.00720983656674967,7
"8","2015-12-29",6.84,6.91,-0.0101819061451196,8
"9","2015-12-30",6.77,6.84,-0.0102866447102754,9
"10","2015-12-31",6.66,6.77,-0.0163816023718859,10
"11","2016-01-04",6.97,6.66,0.0454957402201348,11
"12","2016-01-05",7.17,6.97,0.0282904298390965,12
"13","2016-01-06",7,7.17,-0.0239955055562158,13
"14","2016-01-07",7.26,7,0.0364696797813915,14
"15","2016-01-08",7.17,7.26,-0.0124741742251757,15
"16","2016-01-11",7.3,7.17,0.0179686935428165,16
"17","2016-01-12",7.31,7.3,0.0013689256073417,17
"18","2016-01-13",7.36,7.31,0.00681665897909767,18
"19","2016-01-14",7.3,7.36,-0.00818558458643937,19
"20","2016-01-15",7.01,7.3,-0.0405366471078468,20
"21","2016-01-19",6.57,7.01,-0.0648238685499796,21
"22","2016-01-20",6.31,6.57,-0.0403781559433973,22
"23","2016-01-21",6.56,6.31,0.0388549264028757,23
"24","2016-01-22",6.75,6.56,0.028551901928441,24
"25","2016-01-25",6.66,6.75,-0.0134230203321408,25
"26","2016-01-26",6.79,6.66,0.019331457018307,26
"27","2016-01-27",6.93,6.79,0.0204088716312072,27
"28","2016-01-28",6.82,6.93,-0.0160003413464411,28
"29","2016-01-29",7.26,6.82,0.062520356981334,29
"30","2016-02-01",7.46,7.26,0.0271755853789648,30
"31","2016-02-02",7.46,7.46,0,31
"32","2016-02-03",7.73,7.46,0.035553448383661,32
"33","2016-02-04",7.36,7.73,-0.0490489298585457,33
"34","2016-02-05",7.4,7.36,0.00542006746933943,34
"35","2016-02-08",7.37,7.4,-0.00406229400887903,35
"36","2016-02-09",7.39,7.37,0.00271002875886528,36
"37","2016-02-10",7.49,7.39,0.0134410625690178,37
"38","2016-02-11",6.99,7.49,-0.0690882412834093,38
"39","2016-02-12",6.99,6.99,0,39
"40","2016-02-16",7.42,6.99,0.05969850093357,40
"41","2016-02-17",7.83,7.42,0.0537834528234229,41
"42","2016-02-18",7.63,7.83,-0.0258746647063464,42
"43","2016-02-19",7.32,7.63,-0.0414775173231454,43
"44","2016-02-22",7.4,7.32,0.0108696722369042,44
"45","2016-02-23",7.55,7.4,0.0200675630508091,45
"46","2016-02-24",7.7,7.55,0.0196727655987048,46
"47","2016-02-25",8.36,7.7,0.0822380982369721,47
"48","2016-02-26",9.59,8.36,0.137262461798736,48
"49","2016-02-29",10.2,9.59,0.0616668313948785,49
"50","2016-03-01",10.18,10.2,-0.00196270916784869,50
"51","2016-03-02",10.58,10.18,0.0385404153077769,51
"52","2016-03-03",10.84,10.58,0.0242775695813466,52
"53","2016-03-04",11.21,10.84,0.0335632410725686,53
"54","2016-03-07",11.68,11.21,0.0410717403160126,54
"55","2016-03-08",11.86,11.68,0.0152934161694982,55
"56","2016-03-09",11.51,11.86,-0.0299551708357879,56
