Date,Open,High,Low,Close,Volume
2/9/16,5.14,5.64,5,5.28,1623600
2/10/16,5.33,5.7,5.15,5.39,1686300
2/11/16,5.17,5.41,5.09,5.24,1310400
2/12/16,5.37,5.48,4.99,5.33,2445800
2/16/16,5.5,5.82,5.37,5.82,2434500
2/17/16,5.94,6.79,5.93,6.57,3377600
2/18/16,6.64,6.96,6.42,6.45,2201100
2/19/16,6.4,6.81,6.22,6.77,1527800
2/22/16,6.91,7.25,6.91,7.16,2735000
2/23/16,7.12,7.53,6.85,6.95,3545500
2/24/16,6.86,7.07,6.25,6.56,2322700
2/25/16,6.78,7.03,6.27,6.44,2763100
2/26/16,5.94,6.32,5.76,6.23,2153700
2/29/16,6.3,6.55,6.01,6.16,2545700
3/1/16,6.39,6.87,6.27,6.85,4722300
3/2/16,6.83,8.01,6.83,7.98,5772300
3/3/16,8,8.15,7.29,7.68,2788300
3/4/16,7.72,7.94,7.48,7.55,2284600
3/7/16,7.42,8.48,7.21,8.24,2658500
3/8/16,8.59,8.6,7.61,7.68,2812100
3/9/16,7.78,7.97,7.17,7.5,2617300
3/10/16,7.52,7.89,7.06,7.4,2017500
3/11/16,7.57,8.02,7.33,7.91,1961900
3/14/16,7.91,8.17,7.79,8.02,1680600
3/15/16,7.85,7.9,7.44,7.5,2111500
3/16/16,7.46,7.71,6.8,7.21,2100500
3/17/16,7.2,7.49,6.9,7.27,2670400
3/18/16,7.33,8.14,7,7.86,6894400
3/21/16,7.82,8.39,7.64,7.73,2568800
3/22/16,7.75,8.33,7.75,8.3,2840700
3/23/16,8.27,8.44,7.64,7.65,1966200
3/24/16,7.51,8.05,7.29,7.76,1630300
3/28/16,7.91,7.91,7.52,7.68,1289900
3/29/16,7.62,8.12,7.31,8.11,2306200
3/30/16,8.05,8.58,7.85,7.99,3897800
3/31/16,8.16,8.74,7.95,8.45,3444300
4/1/16,8.38,9.83,8.28,8.69,9149400
4/4/16,8.94,8.99,8.19,8.25,4237600
4/5/16,8.1,8.49,7.81,8.41,2903200
4/6/16,8.45,8.68,8.36,8.61,2660200
4/7/16,8.44,8.7,8.1,8.25,3116700
4/8/16,8.47,8.47,7.96,8.11,1983900
4/11/16,8.14,8.19,7.76,7.82,1919200
4/12/16,8.33,8.45,7.84,7.94,5848600
4/13/16,8.06,8.25,7.83,8.15,2902500
4/14/16,8.15,8.25,7.92,7.99,1824500
4/15/16,7.96,8,7.69,7.75,2291600
4/18/16,7.65,8.01,7.57,7.9,2104900
4/19/16,7.9,7.91,7.48,7.6,2141700
4/20/16,7.62,7.9,7.55,7.8,1551500
4/21/16,7.77,8.1,7.74,8.03,2204300
4/22/16,8.06,8.14,7.78,8.05,1570800
4/25/16,8.02,8.4,8,8.11,1832000
4/26/16,8.08,8.14,7.78,7.97,1664700
4/27/16,7.91,7.91,7.65,7.78,1390300
4/28/16,7.71,8.05,7.6,7.75,1593400
4/29/16,7.7,7.83,7.36,7.47,1764200
5/2/16,7.51,7.7,7.31,7.53,2940200
5/3/16,7.4,7.51,7.05,7.07,1749700
5/4/16,7.07,7.26,6.81,6.81,2083300
5/5/16,6.87,6.91,6.51,6.53,1490900
5/6/16,6.5,6.55,6.26,6.44,1608200
5/9/16,6.4,6.77,6.4,6.61,2218000
5/10/16,6.67,6.73,6.28,6.57,2838900
5/11/16,6.53,7.02,6.5,6.57,1726700
5/12/16,6.65,6.86,6.28,6.47,1837900
5/13/16,6.45,6.62,6.26,6.34,1424100
5/16/16,6.43,6.81,6.32,6.79,1628800
5/17/16,6.77,6.89,6.58,6.61,1664900
5/18/16,6.76,7.25,6.68,7.07,3484300
5/19/16,7.03,7.23,6.75,6.91,1713600
5/20/16,6.97,6.99,6.72,6.84,1492000
5/23/16,6.84,7,6.79,6.92,1559000
5/24/16,6.98,7.18,6.82,7.14,1823400
5/25/16,7.19,7.25,7.03,7.1,1467300
5/26/16,7.12,7.2,7,7.03,1763200
5/27/16,7.03,7.12,6.94,7.06,1154900
5/31/16,7.06,7.2,6.89,7.08,3944700
6/1/16,7.05,7.27,7.01,7.18,4776300
6/2/16,7.17,7.88,7.16,7.71,3431300
6/3/16,7.67,7.81,7.16,7.17,3126200
6/6/16,7.19,7.26,6.97,7.16,1855100
6/7/16,7.22,7.28,7.04,7.04,1611400
6/8/16,7.07,7.18,6.88,6.92,1803600
6/9/16,6.83,7.01,6.7,6.71,1681600
6/10/16,6.57,6.7,6.03,6.05,4279600
6/13/16,6.02,6.26,5.81,5.86,1981600
6/14/16,5.78,6.48,5.78,6.07,2432200
6/15/16,6.11,6.3,6.09,6.1,1343200
6/16/16,6.01,6.15,5.86,5.99,2238600
6/17/16,6.03,6.06,5.61,5.62,4696100
6/20/16,5.75,6.05,5.65,5.91,2021600
6/21/16,5.91,5.97,5.62,5.76,2062700
6/22/16,5.75,6.02,5.65,5.74,1467600
6/23/16,5.81,5.93,5.6,5.91,2417400
6/24/16,5.53,5.75,5.44,5.45,4063200
6/27/16,5.32,5.51,4.98,5,2864700
6/28/16,5.14,5.49,5.11,5.43,1811200
6/29/16,5.55,5.55,5.26,5.42,2357300
6/30/16,5.41,5.52,5.27,5.46,1649900
7/1/16,5.47,5.75,5.38,5.74,1496900
7/5/16,5.66,5.73,5.51,5.58,1247400
7/6/16,5.5,5.69,5.42,5.68,1327600
7/7/16,5.71,6.32,5.71,6.17,3843800
7/8/16,6.25,6.34,5.87,6,2368800
7/11/16,6.04,6.09,5.9,5.91,1552900
7/12/16,6.02,6.09,5.9,6,2385100
7/13/16,6.03,6.16,5.64,5.79,3061100
7/14/16,5.88,5.93,5.66,5.69,3274500
7/15/16,5.72,6.09,5.61,6.06,2231400
7/18/16,6.06,6.16,5.94,6.12,1350400
7/19/16,6.08,6.18,5.89,5.9,1373700
7/20/16,6,6.13,5.95,6.07,1901900
7/21/16,6.1,6.25,5.82,5.87,1713500
7/22/16,5.9,6.02,5.81,6,1210900
7/25/16,6.02,6.07,5.91,6,884700
7/26/16,5.97,6.36,5.89,6.34,4687700
7/27/16,6.42,7.3,6.39,7.13,5749800
7/28/16,7.16,7.5,6.58,6.8,5539400
7/29/16,6.78,6.78,6.45,6.72,2128000
8/1/16,6.75,6.81,6.56,6.71,1939600
8/2/16,6.68,6.8,6.28,6.52,2168800
8/3/16,6.5,6.82,6.45,6.79,2332300
8/4/16,6.79,7.23,6.78,6.82,2617700
8/5/16,6.85,7.07,6.8,7,2244500
8/8/16,7,7.1,6.84,6.94,1585500
8/9/16,6.7,6.75,6.17,6.34,4166600
8/10/16,6.25,6.36,6.06,6.28,1912300
8/11/16,6.36,6.8,6.27,6.71,2338500
8/12/16,6.66,6.95,6.61,6.94,1315400
8/15/16,6.96,7.21,6.94,7.15,1982200
8/16/16,7.14,7.21,6.96,7,1368500
8/17/16,6.99,7.13,6.79,6.87,1227000
8/18/16,6.84,7.03,6.76,7.01,874600
8/19/16,7,7.17,6.92,7.02,1030400
8/22/16,7.08,7.2,6.95,7.2,1317400
8/23/16,7.22,7.56,7.21,7.37,2023500
8/24/16,7.36,7.74,6.93,7,3087400
8/25/16,7.01,7.29,6.6,6.98,3713400
8/26/16,7.05,7.2,6.63,6.98,2598800
8/29/16,7.01,7.1,6.65,7.01,1781000
8/30/16,7.01,7.06,6.83,6.97,2173100
8/31/16,6.97,6.97,6.65,6.69,2839600
9/1/16,6.68,6.83,6.54,6.69,1276400
9/2/16,6.7,6.85,6.6,6.75,1673900
9/6/16,6.82,7.08,6.76,7.02,1910300
9/7/16,7.04,7.17,6.83,7.05,2042500
9/8/16,7.04,7.17,6.87,7.04,1592000
9/9/16,6.92,6.96,6.53,6.53,2278500
9/12/16,6.46,6.97,6.41,6.97,2230000
9/13/16,6.83,7.02,6.67,6.78,1553400
9/14/16,6.8,7.04,6.75,6.94,1325100
9/15/16,6.97,7.15,6.85,7.07,1979100
9/16/16,7,7.32,6.9,7.28,3772200
9/19/16,7.34,7.94,7.32,7.64,3482000
9/20/16,7.72,8.35,7.61,7.89,4665200
9/21/16,8,8.08,7.63,7.94,2369900
9/22/16,8.06,8.08,7.73,7.79,1921400
9/23/16,7.78,7.94,7.55,7.63,1949600
9/26/16,7.57,7.71,7.43,7.52,1212300
9/27/16,7.5,7.8,7.42,7.8,1498300
9/28/16,7.84,7.89,7.45,7.62,1506500
9/29/16,7.6,7.69,7.07,7.07,3031900
9/30/16,7.12,7.52,6.99,7.4,1839400
