Date,Open,High,Low,Close,Volume
6-Feb-17,6.69,6.78,6.60,6.63,9016520
3-Feb-17,6.72,6.88,6.60,6.69,18591025
2-Feb-17,6.57,6.76,6.51,6.72,14974737
1-Feb-17,6.66,6.70,6.53,6.53,12623588
31-Jan-17,6.47,6.66,6.39,6.65,13279994
30-Jan-17,6.40,6.59,6.35,6.55,19195889
27-Jan-17,6.78,6.84,6.38,6.45,25446286
26-Jan-17,6.96,7.01,6.76,6.77,13381866
25-Jan-17,7.02,7.09,6.90,6.94,15479385
24-Jan-17,6.82,7.00,6.80,6.95,15352523
23-Jan-17,6.82,7.01,6.76,6.85,18841119
20-Jan-17,6.73,6.94,6.68,6.85,24263721
19-Jan-17,6.85,6.91,6.66,6.69,22310326
18-Jan-17,6.81,6.88,6.64,6.81,24871871
17-Jan-17,6.84,7.15,6.84,6.94,28888944
13-Jan-17,6.97,7.02,6.73,6.76,26551383
12-Jan-17,7.03,7.08,6.93,6.94,17339180
11-Jan-17,7.04,7.10,6.85,7.05,29246859
10-Jan-17,7.22,7.24,6.95,7.00,37696896
9-Jan-17,7.54,7.57,7.19,7.19,27731712
6-Jan-17,7.50,8.00,7.40,7.57,58310599
5-Jan-17,8.01,8.15,7.78,7.86,43557572
4-Jan-17,8.38,8.80,8.38,8.47,24641811
3-Jan-17,8.35,8.39,7.97,8.33,30774861
30-Dec-16,8.45,8.51,8.21,8.31,18196151
29-Dec-16,8.45,8.58,8.30,8.42,11855113
28-Dec-16,8.57,8.62,8.38,8.47,12057898
27-Dec-16,8.50,8.69,8.36,8.53,14053773
23-Dec-16,8.58,8.72,8.40,8.46,11761935
22-Dec-16,9.02,9.02,8.50,8.56,25943167
21-Dec-16,9.09,9.20,9.04,9.05,12946831
20-Dec-16,8.75,9.12,8.75,9.03,20318809
19-Dec-16,8.65,8.98,8.63,8.69,17777099
16-Dec-16,9.22,9.22,8.59,8.62,26649135
15-Dec-16,9.58,9.65,9.26,9.27,11874106
14-Dec-16,9.86,9.89,9.55,9.55,9989092
13-Dec-16,9.82,10.00,9.61,9.87,13128746
12-Dec-16,10.14,10.20,9.79,9.80,15123917
9-Dec-16,10.53,10.56,10.11,10.21,15424406
8-Dec-16,10.37,10.74,10.37,10.56,15248644
7-Dec-16,10.04,10.46,10.01,10.44,19545343
6-Dec-16,9.81,10.14,9.80,10.02,18709194
5-Dec-16,9.84,10.05,9.78,9.86,19028438
