Date,Open,High,Low,Close,Volume
2/9/16,152.949997,155.759995,152.449997,154.740005,2968400
2/10/16,154.429993,155.490005,152.119995,152.449997,2911900
2/11/16,149.910004,152,149,150.669998,3182200
2/12/16,150.669998,154.070007,150.669998,153.960007,2292200
2/16/16,155,155.899994,154.259995,155.529999,2140600
2/17/16,156,157.130005,155.600006,156.619995,2156100
2/18/16,156.350006,156.970001,155.970001,156.779999,2010200
2/19/16,157,157.089996,155.869995,156.449997,2121300
2/22/16,156.449997,158.479996,156.449997,157.699997,2207600
2/23/16,157.630005,157.690002,155.169998,156.169998,1922800
2/24/16,154.839996,157.619995,153.639999,157.220001,1937800
2/25/16,157.539993,159,157.009995,158.990005,1718100
2/26/16,159.149994,159.5,158.080002,158.270004,1843700
2/29/16,158.009995,159.119995,156.820007,156.869995,1993200
3/1/16,158.75,159.699997,157.610001,159.589996,2204100
3/2/16,158.880005,159.880005,158.539993,159.410004,1807200
3/3/16,159.410004,159.690002,158.509995,159.380005,1926000
3/4/16,159.460007,160.289993,158.919998,160.070007,1766300
3/7/16,159.979996,160.570007,158.169998,160.570007,2012800
3/8/16,159.399994,160.610001,159.350006,160.199997,2020100
3/9/16,160.5,160.779999,159.520004,160.089996,1883000
3/10/16,160.770004,160.800003,158.279999,159.889999,1875700
3/11/16,161.139999,162.050003,160.649994,161.880005,1697200
3/14/16,161.610001,162.770004,161,161.809998,1747300
3/15/16,160.160004,162.5,159.350006,162.410004,1827900
3/16/16,161.960007,163.300003,161.520004,162.889999,1927700
3/17/16,163.160004,164.360001,162.839996,163.75,2790000
3/18/16,164.149994,165.330002,163.899994,165.330002,5853000
3/21/16,165.050003,165.309998,164.410004,164.839996,2095100
3/22/16,164.5,165.5,164.389999,164.910004,2146300
3/23/16,164.600006,164.990005,163.460007,164.270004,2305000
3/24/16,163.679993,164.539993,163.050003,164.460007,1868800
3/28/16,164.929993,166.649994,164.580002,166.279999,2336700
3/29/16,164.929993,164.990005,163.119995,164.389999,2525000
3/30/16,165.369995,167.220001,165.160004,166.75,2195300
3/31/16,166.75,167.5,166.5,166.630005,1777200
4/1/16,165.630005,167.740005,164.789993,167.529999,2011600
4/4/16,167.110001,167.490005,165.919998,166.399994,2022800
4/5/16,165.179993,166.550003,164.649994,165.809998,1617400
4/6/16,165.339996,167.080002,164.839996,166.809998,2092200
4/7/16,165.880005,167.229996,165.25,167.160004,2728300
4/8/16,167.710007,167.990005,166.100006,166.630005,1729300
4/11/16,167.119995,167.960007,166.570007,166.589996,1521100
4/12/16,167.009995,168.399994,166.929993,168.029999,1636500
4/13/16,168.470001,168.899994,167.710007,168.589996,1545900
4/14/16,169,169,167.880005,168.160004,1213400
4/15/16,168.320007,169,168.199997,168.779999,1417000
4/18/16,168.470001,169.869995,168.389999,169.550003,1146600
4/19/16,169.919998,170.770004,169.070007,169.649994,1849100
4/20/16,170.139999,170.449997,168.619995,168.940002,1439700
4/21/16,168.970001,169.699997,168.410004,168.660004,1635000
4/22/16,169.089996,169.759995,167.850006,168.660004,1802300
4/25/16,168,168.509995,166.639999,168.380005,2378300
